,id,cast,title,type,description,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_score,tmdb_score
2848,tm84618,"['Robert De Niro', 'Jodie Foster', 'Albert Brooks', 'Harvey Keitel', 'Cybill Shepherd', 'Peter Boyle', 'Leonard Harris', 'Diahnne Abbott', 'Gino Ardito', 'Martin Scorsese', 'Murray Moston', 'Richard Higgs', 'Bill Minkin', 'Bob Maroff', 'Victor Argo', 'Joe Spinell', 'Robinson Frank Adu', 'Brenda Dickson', 'Norman Matlock', 'Harry Northup', 'Harlan Cary Poe', 'Steven Prince', 'Peter Savage', 'Nicholas Shields', 'Ralph S. Singleton', 'Annie Gagen', 'Carson Grant', 'Mary-Pat Green', 'Debbi Morgan', 'Don Stroud', 'Copper Cunningham', 'Garth Avery', 'Nat Grant', 'Billie Perkins', 'Catherine Scorsese', 'Charles Scorsese', 'Martin Scorsese']",Taxi Driver,MOVIE,A mentally unstable Vietnam War veteran works as a night-time taxi driver in New York City where the perceived decadence and sleaze feed his urge for violent action.,1976.0,R,114.0,"['drama', 'crime']",['US'],0.0,8.2,8.179
2849,tm846354,"['Adipati Dolken', 'Mawar Eva De Jongh', 'Vonny Cornellya Permatasari', 'Sari Nila', 'Ivan Leonardy', 'Clay Gribble', 'Sarah Sechan', 'Jourdy Pranata', 'Tubagus Ali', 'Ravil Prasetya', 'Nagra Kautsar', 'Canti Tachril', 'Thalia Basir', 'Lily S. P.', 'Anna Tairas', 'Willem Bevers', 'Hanif Thamrin', 'Estrina Nia Nirmala', 'Luffy Hamengku Dirgantara', 'Ditto Percussion', 'Rako Prijanto']",#FriendButMarried 2,MOVIE,"As Ayu and Ditto finally transition from best friends to newlyweds, a quick pregnancy creates uncertainty for the future of their young marriage.",2020.0,,104.0,"['drama', 'comedy', 'romance']",['ID'],0.0,6.9,7.5
2850,tm846586,"['Reza Rahadian', 'Acha Septriasa', 'Baim Wong', 'Dian Nitami', 'Beby Tsabina', 'Uli Herdinansyah', 'Natasha Rizki', 'Eriska Rein', 'Landung Simatupang', 'August Melasz', 'Chantiq Schagerl', 'Angelia Livie', 'Aida Cabiyeva', 'Murad Ismayil', 'Nadya Arina', 'Augie Fantinus', 'Monty Tiwa']",Layla Majnun,MOVIE,"While in Azerbaijan, Layla, an Indonesian scholar, falls for Samir, an admirer of her work — but her arranged marriage stands in the way.",2021.0,,119.0,"['romance', 'drama']",['ID'],0.0,6.0,7.5
2851,tm846630,"['Panji Zoni', 'Yayan Ruhian', 'Maizura', 'Cemal Faruk', 'Surya Saputra', 'Jarot SuperDJ', 'Doyok SuperDJ', 'Annette Edoarda', 'Imelda Therinne', 'Hajra Romessa', 'Awaluddin Tahir', 'Arman Dewarti', 'Adi Nugroho', 'Fergie Brittany', 'Alvin Adam', 'Archie Hekagery']",Tarung Sarung,MOVIE,"Wealthy and spoiled, a young man finds something to fight for when he falls in love with an environmental activist protesting his family's business.",2020.0,,115.0,"['drama', 'action', 'sport', 'thriller']",['ID'],0.0,5.9,7.4
2852,tm846941,"['John Shepherd', 'Matthew Killip']",John Was Trying to Contact Aliens,MOVIE,"John Shepherd spent 30 years trying to contact extraterrestrials by broadcasting music millions of miles into space. After giving up the search, he makes a different connection here on earth.",2020.0,,16.0,['documentation'],['US'],0.0,0.0,6.5
2853,tm846964,"['Crystal Fox', 'Phylicia Rashād', 'Bresha Webb', 'Mehcad Brooks', 'Cicely Tyson', 'Tyler Perry', 'Donovan Christie Jr.', 'Walter Fauntleroy', 'Angela Marie Rigsby', 'Steve Mapel', 'Sandra Ellis Lafferty', 'Adrian Pasdar', 'Nathan Anderson', 'Amy Gordon', 'Lori Lail Marette', 'Michael Rose', 'Frances Mitchell', 'Chuanica Pickard', 'Michael Ray Davis', 'Brad Brinkley', 'Kelley Lockman', 'James Healy Jr.', 'Merry Jo Cortada', 'Caroline Carter', 'Danielle Hoetmer', 'John Paul Marston', 'Michelle Davidson', 'A.A. Loyd', 'Nancy De Mayo', 'Heidi Rew', 'Adam Cronan', 'Prentice Osborne', 'Sheri Mann Stewart', 'LaKeysha Edwards', 'Erica D. Brown', 'Glenn Richard', 'Greg Kirkland Jr.', 'Isaac Britt', 'Laquinté Brinson', 'Leslie Kirkland', 'Marissa Patrice Rouse', 'Monique C Baisden', 'Shirley Jean Rouse', 'Zebulon Ellis', 'Darius Scott', 'Cerod Butler', 'Tyler Perry']",A Fall from Grace,MOVIE,"When a law-abiding woman gets indicted for murdering her husband, her lawyer soon realizes that a larger conspiracy may be at work.",2020.0,,120.0,"['thriller', 'drama', 'fantasy']",['US'],0.0,5.8,7.091
2854,tm847008,"['OC Ukeje', 'Chukwudi Iwuji', 'Indira Nascimento', 'Paulo André', 'Ike Barry', 'Yasmin Thin Qi', 'Thaís Cabral', 'Matias Mariani']",Shine Your Eyes,MOVIE,"A Nigerian musician travels to Brazil to search for his estranged brother, who is living a life very different than the one his family thought.",2020.0,,102.0,"['drama', 'thriller']","['BR', 'FR']",0.0,6.5,7.0
2855,tm847085,"['Skyler Gisondo', 'Kara Hayward', 'Vincent Kartheiser', 'Tristan Harris', 'Jaron Lanier', 'Sophia Hammons', 'Catalina Garayoa', 'Barbara Gehring', 'Chris Grundy', 'Vic Alejandro', 'Laura Obiols', 'Jeff Orlowski']",The Social Dilemma,MOVIE,"This documentary-drama hybrid explores the dangerous human impact of social networking, with tech experts sounding the alarm on their own creations.",2020.0,PG-13,94.0,"['drama', 'documentation']",['US'],0.0,7.6,7.5
2856,tm847212,"['Karthi', 'Jyothika', 'Sathyaraj', 'Nikhila Vimal', 'Ammu Abhirami', 'Sowcar Janaki', 'Seetha', 'Ilavarasu', 'Anson Paul', 'Ashwanth Ashokkumar', 'Semmalar Annam', 'Bala', 'Hareesh Peradi', 'Mathew Varghese', 'Jeethu Joseph']",Thambi,MOVIE,Brother and sister who get separated and reunite years later when the brother has grown to be a criminal.,2019.0,,150.0,"['thriller', 'action']",['IN'],0.0,0.0,6.4
2857,tm847430,"['Ichikawa Somegorō VIII', 'Hana Sugisaki', 'Kikuko Inoue', 'Koichi Yamadera', 'Megumi Han', 'Natsuki Hanae', 'Yuuichirou Umehara', 'Megumi Nakajima', 'Sumire Morohoshi', 'Shizuka Itoh', 'Minori Suzuki', 'Hiroshi Kamiya', 'Maaya Sakamoto', 'Yasuaki Takumi', 'Nanako Mori', 'Aya Hisakawa', 'Manami Numakura', 'Junichi Yanagita', 'Eizo Tsuda', 'Hitomi Shogawa', 'Yuya Murakami', 'Chiaki Kobayashi', 'Motoki Sakuma', 'Miwa Natsuki', 'Shunichi Maki', 'You Taichi', 'Eiji Yoshitomi', 'Masumi Taira', 'Ayaka Shimizu', 'Ikumi Hasegawa', 'Ryo Sugisaki', 'Akinori Egoshi', 'Yuka Nukui', 'Kyohei Ishiguro']",Words Bubble Up Like Soda Pop,MOVIE,"After meeting one bright, sunny day, a shy boy who expresses himself through haiku and a bubbly but self-conscious girl share a brief, magical summer.",2020.0,,87.0,"['animation', 'drama']",['JP'],0.0,0.0,7.4
